playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
breweji01,1973,1,LAN,NL,56,56,5,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,56,James Thomas
breweji01,1974,1,LAN,NL,24,24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,James Thomas
breweji01,1975,1,LAN,NL,21,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,James Thomas
breweto02,1984,1,LAN,NL,24,24,37,3,4,1,0,1,4,1,0,4,9,1,0,0,0,1,24,Anthony Bruce
brewsch01,1943,2,PHI,NL,49,49,159,13,35,2,0,0,12,1,,10,19,,2,4,,2,49,Charles Lawrence
brickfr01,1930,2,PHI,NL,53,53,240,33,59,12,6,0,17,1,,13,21,,2,2,,,53,George Frederick
brickfr01,1931,1,PHI,NL,130,130,514,77,130,14,5,1,31,5,,42,39,,5,2,,,130,George Frederick
brickfr01,1932,1,PHI,NL,45,45,66,9,22,6,1,0,2,2,,4,5,,2,0,,,45,George Frederick
brickfr01,1933,1,PHI,NL,8,8,13,2,4,1,1,0,1,0,,1,0,,0,0,,0,8,George Frederick
bridgma01,1964,1,WS2,AL,17,17,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,Marshall
bridgma01,1965,1,WS2,AL,40,40,7,1,1,0,1,0,2,0,0,0,3,0,0,1,0,0,40,Marshall
bridwal01,1906,1,BSN,NL,120,120,459,41,104,9,1,0,22,6,,44,,,2,13,,,120,Albert Henry
bridwal01,1907,1,BSN,NL,140,140,509,49,111,8,2,0,26,17,,61,,,6,10,,,140,Albert Henry
bridwal01,1911,2,BSN,NL,51,51,182,29,53,5,0,0,10,2,,33,8,,1,9,,,51,Albert Henry
bridwal01,1912,1,BSN,NL,31,31,106,6,25,5,1,0,14,2,,5,5,,0,5,,,31,Albert Henry
